,uid,contentsId,contents,likeCount,tv_name
0,1747317418,1598027582739003638,就这?为什么陈死活都不说呢?,0,2
1,1283479460,1580658175362005949,台剧衣品都很好,1,2
2,1423062920,1578545681214005319,我人憨了,0,2
3,1167144465,1599227477818002158,一种路小雨的既视感,0,2
4,1237900903,1582519461650009567,背景音乐是啥？,1,2
5,1482242826,1582463340786003976,这么久就没洗过车？？,0,2
6,2478881678,1580743017540005761,一一道来,0,2
7,1266395909,1581339084173009589,老何，看到这里没有？！,6,2
8,2006606632,1580122419735009897,敢情片头片尾也是一个闭环,23,2
9,2459385144,1584163076835006211,就是闭环，一直循环，首尾相接,4,2
10,349272482524103,1588471542120000585,坚持看下去,1,2
11,556013384222771,1590503448702003591,如果爱重来,0,2
12,2229986998,1585021069006008774,片头也有细节,2,2
13,2273401252,1581586418939005599,宝贝姗姗我来咯,1,2
14,1642153417,1583597028685006619,二刷进行时,2,2
15,1810212841,1580715329204000121,想见你超级想见你,1,2
16,1822955822,1586938075161001485,哈哈哈哈哈,0,2
17,1523415105,1587224617441005974,片尾片头是连在一起的,2,2
18,1752175579,1579528274040003567,敢不敢许个实际点的愿望,2,2
19,2515172524,1582265665016003354,片头片尾好像是连起来的,8,2
20,1242758920,1595578712925008323,我去第一次片头片尾连着看，真的能连起来，是剧情的那个闭环，这剧二刷细节好多,1,2
21,1412320620,1591353104607005448,我已经五刷了,0,2
22,2433978919,1581993436406006113,很少人看片头啊，二刷片头不舍得放过,4,2
23,1696659555,1582717634515004485,这里是黄雨萱,0,2
24,1084786635,1583903548825002172,注意片头片尾都是细节！！！,3,2
25,1777646825,1580018573742002064,片头曲叫啥？,1,2
26,2641432767,1588569395274004264,依然爱莫俊杰,0,2
27,1638466629,1578504421219006968,文藝的懸疑片，超厲害👍,6,2
28,1277288018,1590245105850004643,这不是给自己补了一刀嘛,0,2
29,1605937910,1582029318454007663,二刷太喜欢了,2,2
30,1505146648,1580817311735008914,片头片尾都不愿意跳过,1,2
31,1608187672,1582543132836009273,二刷发现片尾和片头是连着的,6,2
32,1353920323,1588689173349002865,友情提示，片头曲一定要看,2,2
33,1570849181,1581274110770002392,其实是同一个蛋糕,1,2
34,1442793923,1577120280242004329,这片头风格爱了,7,2
35,1632747345,1582261583557006868,看不懂片头片尾,1,2
36,1085894175,1586424937084002650,闭上眼穿越就能见到你。李子维。,1,2
37,1696659555,1582717689370007496,魂穿后的黄雨萱遇到李子维,1,2
38,1467521431,1583071157844001465,歌曲很文艺,3,2
39,2413181729,1581251891964002830,二刷这部剧强烈爱辽,3,2
40,1696659555,1582717731713007998,李子维成为了王诠胜,2,2
41,1816960197,1582447121551006437,片头里面都是暗线啊,0,2
42,2425884741,1578460371561000118,片头都认真看,4,2
43,1594118969,1580791484466009436,片头片尾可以连起来！,4,2
44,1562342850,1585744679432002441,二刷好有感触,0,2
45,1336109136,1594732200724009918,希望永远都不要在见到zhj,0,2
46,2226360486,1587627982769008492,片头和片尾也是衔接的，太爱这部剧了,3,2
47,361106258265374,1587868804073004688,再来一遍,1,2
48,1504357840,1582350846140001408,片头片尾也是闭环惊了,6,2
49,1199302975,1582007948332001440,平行空间？？？,2,2
50,2450240294,1586148250134006798,一直都是李子维,0,2
51,1696659555,1582717763794001560,这里是老李,1,2
52,857443986843688,1593871900945007675,看不懂哦,0,2
53,2119959629,1585577383454005129,现在才发现,1,2
54,2105332868,1580751244792008047,1.25倍感觉正好啊,0,2
55,529370393352253,1592105224348009306,片头曲叫啥名片头曲叫什么名？骗头名叫什么,1,2
56,2119959629,1585577419592006909,现在才发现,0,2
57,2403840544,1582361302183004491,许光汉太帅了,0,2
58,1224660611,1591099614145009499,其实一直以来都是一个人罢了！四刷了已经，每次都有不一样的感触,0,2
59,2130475527,1583725810261004017,不能说的秘密,0,2
60,1491063101,1581399232732001433,让你放心里，你这娘们不听劝啊,0,2
61,1085894175,1586425059342007941,捧起的黑色金鱼死掉了，暗示陈韵如。。。,1,2
62,1375487543,1580824320487006737,金鱼有含义,3,2
63,1505146648,1580817353961000994,这片头暗藏玄机,4,2
64,1430780560,1596607543172004353,"人家是用line,不是WeChat",0,2
65,1344309125,1580632929074006518,两倍好好听,0,2
66,2484245265,1581575314753002919,片头其实包含了整部剧的内容,10,2
67,310025243334446,1588473656345003790,红金鱼是黄雨萱，黑色是陈韵如,0,2
68,1265772108,1582719482737003896,这剧是内地剧，就是在台湾拍的，台湾演员而已,5,2
69,1615608072,1595703615856000126,我看懂了,0,2
70,1154818529,1589453672954006225,是不是我智商不够，我为啥看不懂片头片尾,5,2
71,1085894175,1586425086710009447,红色耳机线,0,2
72,2318739420,1582183144131009707,乖乖我看到这里咯,0,2
73,2641432767,1588569443176004590,莫小天使,0,2
